Date,daily_vol_gk,sigma_roll_ann,sigma_ewma_ann,IDV_ZScore
2010-01-04,0.0068,,,
2010-01-05,0.0077,,,
2010-01-06,0.0110,,,
2010-01-07,0.0093,,,
2010-01-08,0.0085,,,
2010-01-11,0.0131,,,
2010-01-12,0.0105,,,
2010-01-13,0.0218,,,
2010-01-14,0.0044,,,
2010-01-15,0.0124,16.7578,13.7513,
2010-01-19,0.0179,17.8172,14.6309,
2010-01-20,0.0179,18.6967,15.4553,
2010-01-21,0.0167,19.3023,16.1221,
2010-01-22,0.0232,20.5492,17.3604,
2010-01-25,0.0157,20.8365,17.8103,
2010-01-26,0.0378,23.2866,20.3439,
2010-01-27,0.0380,25.4641,22.7415,
2010-01-28,0.0163,25.4859,22.9284,
2010-01-29,0.0323,26.8413,24.6271,
2010-02-01,0.0154,26.7215,24.6162,
2010-02-02,0.0107,26.2555,24.1553,
2010-02-03,0.0163,26.9716,24.2576,
2010-02-04,0.0196,27.8723,24.6696,
2010-02-05,0.0165,28.2851,24.7612,
2010-02-08,0.0131,28.5713,24.5211,
2010-02-09,0.0099,28.6727,23.9916,
2010-02-10,0.0081,28.2980,23.3241,
2010-02-11,0.0166,28.7557,23.5021,
2010-02-12,0.0207,28.6746,24.0624,
2010-02-16,0.0061,28.8025,23.2005,
2010-02-17,0.0109,28.6905,22.8514,
2010-02-18,0.0096,28.0615,22.3924,
2010-02-19,0.0073,27.2614,21.7429,
2010-02-22,0.0100,26.7547,21.3941,
2010-02-23,0.0178,26.3481,21.8038,
2010-02-24,0.0103,25.9399,21.4727,
2010-02-25,0.0155,24.2505,21.6579,
2010-02-26,0.0086,22.0309,21.1801,
2010-03-01,0.0098,21.5412,20.8436,
2010-03-02,0.0099,19.8524,20.5394,
2010-03-03,0.0064,19.1743,19.9194,
2010-03-04,0.0065,18.8559,19.3391,
2010-03-05,0.0119,18.5206,19.3080,
2010-03-08,0.0053,17.4407,18.6563,
2010-03-09,0.0184,17.5861,19.2919,
2010-03-10,0.0066,17.0980,18.7649,
2010-03-11,0.0053,16.7494,18.1416,
2010-03-12,0.0058,16.5754,17.6059,
2010-03-15,0.0161,16.5408,18.0833,
2010-03-16,0.0078,15.5643,17.7384,
2010-03-17,0.0098,15.8407,17.6041,
2010-03-18,0.0074,15.5720,17.2523,
2010-03-19,0.0106,15.6462,17.2227,
2010-03-22,0.0142,16.1673,17.5400,
2010-03-23,0.0126,16.3593,17.6854,
2010-03-24,0.0069,15.5334,17.2768,
2010-03-25,0.0089,15.4280,17.0846,
2010-03-26,0.0090,14.9399,16.9180,
2010-03-29,0.0066,14.7896,16.5352,
2010-03-30,0.0095,14.7647,16.4461,
2010-03-31,0.0063,14.4916,16.0616,
2010-04-01,0.0175,15.3311,16.7681,
2010-04-05,0.0063,15.3211,16.3642,
2010-04-06,0.0089,15.1011,16.2344,
2010-04-07,0.0092,15.3944,16.1367,
2010-04-08,0.0102,14.7758,16.1441,
2010-04-09,0.0041,14.5845,15.5649,
2010-04-12,0.0037,14.4629,14.9804,
2010-04-13,0.0047,14.3808,14.5309,
2010-04-14,0.0049,13.5350,14.1271,
2010-04-15,0.0063,13.4202,13.8749,
2010-04-16,0.0186,14.0860,14.8113,
2010-04-19,0.0177,14.8632,15.6063,
2010-04-20,0.0151,15.2053,16.1065,
2010-04-21,0.0123,15.0667,16.3162,
2010-04-22,0.0208,15.6909,17.3215,
2010-04-23,0.0119,16.0728,17.4159,
2010-04-26,0.0097,16.1390,17.2988,
2010-04-27,0.0153,16.6117,17.7150,
2010-04-28,0.0203,17.6409,18.5812,
2010-04-29,0.0167,18.1858,19.0558,
2010-04-30,0.0166,18.9663,19.4983,
2010-05-03,0.0120,18.5444,19.4668,
2010-05-04,0.0147,19.1765,19.6976,
2010-05-05,0.0252,20.4085,20.9201,
2010-05-06,0.1824,33.5034,37.0408,
2010-05-07,0.0608,37.3218,40.6051,
2010-05-10,0.0145,38.1105,39.5520,
2010-05-11,0.0234,39.5998,39.4047,
2010-05-12,0.0099,39.9914,37.9832,
2010-05-13,0.0202,41.1506,37.6329,
2010-05-14,0.0192,42.1320,37.2069,
