Date,daily_vol_gk,sigma_roll_ann,sigma_ewma_ann,IDV_ZScore
2010-01-04,0.0196,,,
2010-01-05,0.0170,,,
2010-01-06,0.0125,,,
2010-01-07,0.0163,,,
2010-01-08,0.0152,,,
2010-01-11,0.0241,,,
2010-01-12,0.0296,,,
2010-01-13,0.0348,,,
2010-01-14,0.0196,,,
2010-01-15,0.0283,34.4290,33.2472,
2010-01-19,0.0190,34.0455,33.0650,
2010-01-20,0.0177,33.5488,32.7661,
2010-01-21,0.0296,34.5827,33.6195,
2010-01-22,0.0305,35.5663,34.5036,
2010-01-25,0.0189,35.1952,34.2334,
2010-01-26,0.0176,34.7375,33.8517,
2010-01-27,0.0245,34.9798,34.1519,
2010-01-28,0.0334,35.9831,35.2852,
2010-01-29,0.0468,38.0030,37.6298,
2010-02-01,0.0364,38.9948,38.8423,
2010-02-02,0.0189,38.5648,38.3097,
2010-02-03,0.0152,38.2273,37.4552,
2010-02-04,0.0306,39.2598,38.1259,
2010-02-05,0.0262,40.2947,38.3315,
2010-02-08,0.0309,41.4018,38.9783,
2010-02-09,0.0231,41.9993,38.8377,
2010-02-10,0.0188,41.5994,38.2948,
2010-02-11,0.0277,41.4572,38.6342,
2010-02-12,0.0342,41.4095,39.5746,
2010-02-16,0.0146,41.0285,38.5872,
2010-02-17,0.0228,40.6170,38.4452,
2010-02-18,0.0308,41.5044,39.0691,
2010-02-19,0.0119,41.0647,37.8560,
2010-02-22,0.0169,40.1024,37.1916,
2010-02-23,0.0244,39.6474,37.2880,
2010-02-24,0.0159,39.4175,36.5611,
2010-02-25,0.0286,40.2486,37.0868,
2010-02-26,0.0140,39.4601,36.1996,
2010-03-01,0.0273,39.0012,36.6316,
2010-03-02,0.0196,36.9388,36.2968,
2010-03-03,0.0197,35.6724,35.9937,
2010-03-04,0.0161,35.4610,35.3656,
2010-03-05,0.0211,35.9068,35.2495,
2010-03-08,0.0126,34.5436,34.3349,
2010-03-09,0.0201,34.0845,34.1895,
2010-03-10,0.0112,32.5911,33.2032,
2010-03-11,0.0129,31.8224,32.4405,
2010-03-12,0.0100,31.1602,31.4470,
2010-03-15,0.0162,30.2956,31.1079,
2010-03-16,0.0194,29.1728,31.0852,
2010-03-17,0.0168,29.3433,30.8220,
2010-03-18,0.0235,29.3918,31.2069,
2010-03-19,0.0250,28.9564,31.7166,
2010-03-22,0.0148,29.1761,31.2214,
2010-03-23,0.0156,29.0772,30.8306,
2010-03-24,0.0142,28.3051,30.3357,
