Date,daily_vol_gk,sigma_roll_ann,sigma_ewma_ann,IDV_ZScore
2010-01-04,0.0060,,,
2010-01-05,0.0038,,,
2010-01-06,0.0032,,,
2010-01-07,0.0063,,,
2010-01-08,0.0051,,,
2010-01-11,0.0047,,,
2010-01-12,0.0062,,,
2010-01-13,0.0083,,,
2010-01-14,0.0038,,,
2010-01-15,0.0079,8.7789,9.2718,
2010-01-19,0.0048,8.6707,9.1708,
2010-01-20,0.0103,9.3091,9.6004,
2010-01-21,0.0115,9.9914,10.1152,
2010-01-22,0.0092,10.3217,10.3852,
2010-01-25,0.0063,10.3044,10.3658,
2010-01-26,0.0087,10.5210,10.5701,
2010-01-27,0.0101,10.8497,10.9023,
2010-01-28,0.0122,11.3256,11.4131,
2010-01-29,0.0142,11.9127,12.0772,
2010-02-01,0.0050,11.7158,11.8311,
2010-02-02,0.0078,11.7456,11.8616,
2010-02-03,0.0053,11.6930,11.6545,
2010-02-04,0.0111,12.2456,12.0135,
2010-02-05,0.0151,13.1485,12.7317,
2010-02-08,0.0083,13.3025,12.7587,
2010-02-09,0.0111,13.7564,13.0546,
2010-02-10,0.0095,14.1137,13.1722,
2010-02-11,0.0110,14.4764,13.4328,
2010-02-12,0.0098,14.5928,13.5603,
2010-02-16,0.0059,14.7519,13.3076,
2010-02-17,0.0036,14.4240,12.8509,
2010-02-18,0.0054,14.4674,12.5899,
2010-02-19,0.0071,14.2288,12.5138,
2010-02-22,0.0043,13.6854,12.1690,
2010-02-23,0.0076,13.5657,12.1650,
2010-02-24,0.0046,13.4355,11.8748,
2010-02-25,0.0112,13.6302,12.2338,
2010-02-26,0.0062,13.3288,12.0864,
2010-03-01,0.0036,12.6797,11.7084,
2010-03-02,0.0043,11.9363,11.4181,
2010-03-03,0.0057,11.9879,11.2765,
2010-03-04,0.0039,11.6965,10.9732,
2010-03-05,0.0049,11.6641,10.7785,
2010-03-08,0.0027,11.0250,10.3849,
2010-03-09,0.0063,10.3591,10.3618,
2010-03-10,0.0041,10.0422,10.1316,
2010-03-11,0.0061,9.6579,10.1009,
2010-03-12,0.0038,9.2338,9.8615,
2010-03-15,0.0058,8.8368,9.8204,
2010-03-16,0.0039,8.3924,9.6047,
2010-03-17,0.0050,8.3243,9.5035,
2010-03-18,0.0040,8.3562,9.3153,
2010-03-19,0.0076,8.5276,9.4823,
2010-03-22,0.0079,8.5832,9.6628,
2010-03-23,0.0052,8.6512,9.5747,
2010-03-24,0.0033,8.3264,9.3171,
2010-03-25,0.0091,8.6671,9.6270,
2010-03-26,0.0075,8.3852,9.7657,
2010-03-29,0.0032,8.1588,9.4813,
2010-03-30,0.0054,8.2888,9.4232,
2010-03-31,0.0052,8.3522,9.3500,
2010-04-01,0.0053,8.3244,9.2973,
2010-04-05,0.0028,8.2422,9.0093,
2010-04-06,0.0051,8.2574,8.9516,
2010-04-07,0.0067,8.5651,9.0553,
2010-04-08,0.0076,8.6672,9.2406,
2010-04-09,0.0026,8.5552,8.9366,
2010-04-12,0.0025,8.2883,8.6413,
2010-04-13,0.0060,8.4518,8.6954,
2010-04-14,0.0033,8.2678,8.4925,
2010-04-15,0.0031,8.2081,8.2811,
2010-04-16,0.0102,8.5999,8.7532,
2010-04-19,0.0079,8.8964,8.9836,
2010-04-20,0.0037,8.6007,8.7979,
2010-04-21,0.0071,8.5424,8.9460,
2010-04-22,0.0114,9.0138,9.4948,
2010-04-23,0.0052,9.1572,9.4228,
2010-04-26,0.0044,8.7988,9.2747,
2010-04-27,0.0111,9.0723,9.7792,
2010-04-28,0.0070,9.3650,9.8627,
